Country,GDP_2005,GDP_2010,GDP_2014,GDP_2015,GDP_2016,GDP_2017,Ed_Spending_2005,Ed_Spending_2010,Ed_Spending_2014,Ed_Spending_2015,Ed_Spending_2016,2017
OECD average ,28376,34295,39414,40733,42611,44723,6109,8153,9009,9228,9562,9934
Australia,35571,42787,47645,47305,50248,51261,6891,10315,10319,10743,10516,11270
Austria ,35025,42049,48814,49955,52660,54512,---,---,13454,13939,14913,15097
Belgium,33177,39865,44930,46214,48594,50616,7583,10465,11903,11952,12535,13054
Canada,36328,40114,45754,44671,46481,48623,---,9948,10747,10459,11020,11380
Chile ,12668,18129,22688,22593,22625,23597,2140,3279,4167,4259,4906,5213
Colombia,8517,10975,13500,13465,14196,14626,---,---,2754,2909,3014,3137
Czech Republic ,22046,27787,32504,33918,36098,38992,4051,5767,6887,7122,7108,8052
Denmark ,34153,43037,47905,49071,51962,55517,8942,11758,12827,---,---,12163
Estonia ,16574,21780,29108,29444,31571,33983,3706,6218,6436,6685,6986,7462
Finland ,32052,38982,41750,42502,44930,47502,6638,8833,9769,10044,10252,10133
France ,30504,35936,40144,40841,42852,44694,7423,9124,9918,9963,10377,10867
Germany ,32237,39704,47011,47622,50574,53255,7071,9217,10799,10902,11552,12195
Greece,25577,27932,26642,26728,27468,28594,5354,---,6192,6205,6178,6199
Hungary ,17074,21715,25643,26785,27909,29832,3947,---,5552,5985,7033,6780
Iceland ,37338,39612,45713,48857,53032,55562,8961,8804,10599,11231,11861,13254
Ireland,40448,43316,51213,69152,71786,79068,6481,9749,9170,8510,8887,9218
Israel ,24743,28835,34282,35486,37816,38918,4579,5686,7556,---,8427,9064
Italy ,30016,34857,36195,36909,39923,41785,7103,8169,8727,9047,8901,10036
Japan,31668,34994,39183,40406,39990,40885,7471,8882,---,10102,9868,9963
Korea,25187,31741,35324,37907,39567,41001,---,---,---,---,11810,12704
Latvia ,13878,17657,23798,24971,26710,28680,3033,4756,6631,6884,6761,6766
Lithuania ,14511,20110,28184,28842,30922,33827,---,4541,5383,5314,5879,6094
Luxembourg,68141,85579,100934,103788,110250,112702,---,---,20939,20711,20224,21244
Mexico ,12540,15258,18178,18459,19517,20043,2007,2544,3033,3075,3149,2803
Netherlands ,37625,45075,49233,50302,52284,55349,7760,9897,10674,11026,11326,11931
New Zealand ,25590,31175,37134,37403,39906,41556,---,---,9064,9192,9679,9937
Norway ,47801,57961,65896,60369,58917,62940,9793,12942,14194,14069,14042,14848
Poland,13898,20827,25163,26542,27983,29809,3181,5584,6824,6788,7028,7597
Portugal ,22725,27280,28742,29669,31604,33086,5620,---,9411,8577,9107,9836
Slovak Republic ,16595,25028,28997,29936,29656,30916,2770,5281,6369,6765,6432,6711
Slovenia,23849,27842,30873,31640,33939,36680,7072,8674,8875,8447,8724,9223
Spain,27601,31714,33544,34939,37310,39626,6329,8369,7814,8230,8765,9166
Sweden ,34244,42252,47185,49116,50425,52739,7672,10104,11007,11174,11785,12339
Switzerland ,41467,54805,64103,66038,68098,69561,---,---,---,15155,15843,12138
Turkey ,11911,17358,24105,25863,26693,28418,---,---,4282,4576,5097,4594
United Kingdom,32586,36465,41292,42583,44121,45923,7698,9430,11875,11109,11221,11597
United States ,44044,48396,54993,56813,57977,60056,9775,11809,12163,12595,13022,13511
