Country,2017
Australia,11270
Austria ,15097
Belgium,13054
Canada,11380
Chile ,5213
Colombia,3137
Czech Republic ,8052
Denmark ,12163
Estonia ,7462
Finland ,10133
France ,10867
Germany ,12195
Greece,6199
Hungary ,6780
Iceland ,13254
Ireland,9218
Israel ,9064
Italy ,10036
Japan,9963
Korea,12704
Latvia ,6766
Lithuania ,6094
Luxembourg,21244
Mexico ,2803
Netherlands ,11931
New Zealand ,9937
Norway ,14848
Poland,7597
Portugal ,9836
Slovak Republic ,6711
Slovenia,9223
Spain,9166
Sweden ,12339
Switzerland ,12138
Turkey ,4594
United Kingdom,11597
United States ,13511
