State,ReadingG8,MathG8
Alabama,256,269
Alaska,256,274
Arizona,263,280
Arkansas,261,274
California,262,276
Colorado,269,285
Connecticut,272,286
Delaware,262,277
District of Columbia,251,269
DoDEA,282,292
Florida,267,279
Georgia,265,279
Hawaii,262,275
Idaho,269,286
Illinois,267,283
Indiana,268,286
Iowa,266,282
Kansas,266,282
Kentucky,265,278
Louisiana,259,272
Maine,268,282
Maryland,267,280
Massachusetts,275,294
Michigan,265,280
Minnesota,268,291
Mississippi,258,274
Missouri,266,281
Montana,268,284
Nebraska,268,285
Nevada,261,274
New Hampshire,272,287
New Jersey,273,292
New Mexico,254,269
New York,264,280
North Carolina,266,284
North Dakota,267,286
Ohio,270,286
Oklahoma,261,276
Oregon,266,280
Pennsylvania,267,285
Rhode Island,265,276
South Carolina,261,276
South Dakota,266,287
Tennessee,265,280
Texas,259,280
Utah,270,285
Vermont,271,287
Virginia,265,287
Washington,269,286
West Virginia,258,272
Wisconsin,270,289
Wyoming,267,286
